product_title,asin,brand,supplier_name,supplier_country,supplier_rating,moq,fba_score,description,website,wholesale_price,amazon_price,roi
"Kirkland Signature Quit 2mg or 4mg, Cherry Lozenges, 270 Pieces",B076031897,Kirkland Signature,American Quality Wholesale,United States,4.6,25,0,"Bulk supplier of Kirkland Signature Quit 2mg or 4mg, Cherry Lozenges, 270 Pieces with FBA-compatible MOQs.",https://americanqualitywholesale.com/kirkland signature,62.99,73.49,23432.39
"Kirkland Signature Quit 2mg or 4mg, Cherry Lozenges, 270 Pieces",B076031897,Kirkland Signature,U.S. Source Kirkland Signature,United States,4.7,10,0,"Direct-from-manufacturer pricing on Kirkland Signature Quit 2mg or 4mg, Cherry Lozenges, 270 Pieces.",https://us-source-kirkland signature.com,62.99,73.49,23432.39
"trunature Verisol Collagen With Ceramides and Biotin, 200ct",B07e32181b,trunature,trunature Pro Distributors,United States,4.8,12,0,"Wholesale distributor of trunature Verisol Collagen With Ceramides and Biotin, 200ct for Amazon sellers.",https://trunature-prodist.com,28.99,30.44,12187.82
"trunature Verisol Collagen With Ceramides and Biotin, 200ct",B07e32181b,trunature,American Quality Wholesale,United States,4.6,25,0,"Bulk supplier of trunature Verisol Collagen With Ceramides and Biotin, 200ct with FBA-compatible MOQs.",https://americanqualitywholesale.com/trunature,28.99,30.44,12187.82
"trunature Verisol Collagen With Ceramides and Biotin, 200ct",B07e32181b,trunature,U.S. Source trunature,United States,4.7,10,0,"Direct-from-manufacturer pricing on trunature Verisol Collagen With Ceramides and Biotin, 200ct.",https://us-source-trunature.com,28.99,30.44,12187.82
"Avery Easy Peel Address Labels, 4200-count",B03d95d1b4,Avery,Avery Pro Distributors,United States,4.8,12,0,"Wholesale distributor of Avery Easy Peel Address Labels, 4200-count for Amazon sellers.",https://avery-prodist.com,36.99,32.37,220318.82
"Avery Easy Peel Address Labels, 4200-count",B03d95d1b4,Avery,American Quality Wholesale,United States,4.6,25,0,"Bulk supplier of Avery Easy Peel Address Labels, 4200-count with FBA-compatible MOQs.",https://americanqualitywholesale.com/avery,36.99,32.37,220318.82
"Avery Easy Peel Address Labels, 4200-count",B03d95d1b4,Avery,U.S. Source Avery,United States,4.7,10,0,"Direct-from-manufacturer pricing on Avery Easy Peel Address Labels, 4200-count.",https://us-source-avery.com,36.99,32.37,220318.82
"Zesty Paws Probiotic Bites for Dogs, Bacon Flavor, 160-count",B0a2f6d45d,Zesty Paws,Zesty Paws Pro Distributors,United States,4.8,12,0,"Wholesale distributor of Zesty Paws Probiotic Bites for Dogs, Bacon Flavor, 160-count for Amazon sellers.",https://zesty paws-prodist.com,36.99,32.37,8296.91
"Zesty Paws Probiotic Bites for Dogs, Bacon Flavor, 160-count",B0a2f6d45d,Zesty Paws,American Quality Wholesale,United States,4.6,25,0,"Bulk supplier of Zesty Paws Probiotic Bites for Dogs, Bacon Flavor, 160-count with FBA-compatible MOQs.",https://americanqualitywholesale.com/zesty paws,36.99,32.37,8296.91
"Zesty Paws Probiotic Bites for Dogs, Bacon Flavor, 160-count",B0a2f6d45d,Zesty Paws,U.S. Source Zesty Paws,United States,4.7,10,0,"Direct-from-manufacturer pricing on Zesty Paws Probiotic Bites for Dogs, Bacon Flavor, 160-count.",https://us-source-zesty paws.com,36.99,32.37,8296.91
"Vital Proteins Collagen Gummies, Raspberry 256 Count",B0bb8e0b08,Vital Proteins,Vital Proteins Pro Distributors,United States,4.8,12,0,"Wholesale distributor of Vital Proteins Collagen Gummies, Raspberry 256 Count for Amazon sellers.",https://vital proteins-prodist.com,29.99,26.36,12220.1
"Vital Proteins Collagen Gummies, Raspberry 256 Count",B0bb8e0b08,Vital Proteins,American Quality Wholesale,United States,4.6,25,0,"Bulk supplier of Vital Proteins Collagen Gummies, Raspberry 256 Count with FBA-compatible MOQs.",https://americanqualitywholesale.com/vital proteins,29.99,26.36,12220.1
"Vital Proteins Collagen Gummies, Raspberry 256 Count",B0bb8e0b08,Vital Proteins,U.S. Source Vital Proteins,United States,4.7,10,0,"Direct-from-manufacturer pricing on Vital Proteins Collagen Gummies, Raspberry 256 Count.",https://us-source-vital proteins.com,29.99,26.36,12220.1
"Pendaflex Hanging Folder, 1/5-Cut Tab, Letter, Standard Green, 50-count",B08ee6c693,Pendaflex,Pendaflex Pro Distributors,United States,4.8,12,0,"Wholesale distributor of Pendaflex Hanging Folder, 1/5-Cut Tab, Letter, Standard Green, 50-count for Amazon sellers.",https://pendaflex-prodist.com,14.99,14.99,2014.81
"Pendaflex Hanging Folder, 1/5-Cut Tab, Letter, Standard Green, 50-count",B08ee6c693,Pendaflex,American Quality Wholesale,United States,4.6,25,0,"Bulk supplier of Pendaflex Hanging Folder, 1/5-Cut Tab, Letter, Standard Green, 50-count with FBA-compatible MOQs.",https://americanqualitywholesale.com/pendaflex,14.99,14.99,2014.81
"Pendaflex Hanging Folder, 1/5-Cut Tab, Letter, Standard Green, 50-count",B08ee6c693,Pendaflex,U.S. Source Pendaflex,United States,4.7,10,0,"Direct-from-manufacturer pricing on Pendaflex Hanging Folder, 1/5-Cut Tab, Letter, Standard Green, 50-count.",https://us-source-pendaflex.com,14.99,14.99,2014.81
"Scotch-Brite Heavy Duty Sponge, 24-count",B0463b447b,Scotch-Brite,Scotch-Brite Pro Distributors,United States,4.8,12,0,"Wholesale distributor of Scotch-Brite Heavy Duty Sponge, 24-count for Amazon sellers.",https://scotch-brite-prodist.com,18.99,19.78,1140.37
"Scotch-Brite Heavy Duty Sponge, 24-count",B0463b447b,Scotch-Brite,American Quality Wholesale,United States,4.6,25,0,"Bulk supplier of Scotch-Brite Heavy Duty Sponge, 24-count with FBA-compatible MOQs.",https://americanqualitywholesale.com/scotch-brite,18.99,19.78,1140.37
"Scotch-Brite Heavy Duty Sponge, 24-count",B0463b447b,Scotch-Brite,U.S. Source Scotch-Brite,United States,4.7,10,0,"Direct-from-manufacturer pricing on Scotch-Brite Heavy Duty Sponge, 24-count.",https://us-source-scotch-brite.com,18.99,19.78,1140.37
"Clorox Disinfecting Wipes, Variety Pack, 85-count, 5-pack",B0d9734e79,Clorox,Clorox Pro Distributors,United States,4.8,12,0,"Wholesale distributor of Clorox Disinfecting Wipes, Variety Pack, 85-count, 5-pack for Amazon sellers.",https://clorox-prodist.com,21.99,16.17,2206.33
"Clorox Disinfecting Wipes, Variety Pack, 85-count, 5-pack",B0d9734e79,Clorox,American Quality Wholesale,United States,4.6,25,0,"Bulk supplier of Clorox Disinfecting Wipes, Variety Pack, 85-count, 5-pack with FBA-compatible MOQs.",https://americanqualitywholesale.com/clorox,21.99,16.17,2206.33
"Clorox Disinfecting Wipes, Variety Pack, 85-count, 5-pack",B0d9734e79,Clorox,U.S. Source Clorox,United States,4.7,10,0,"Direct-from-manufacturer pricing on Clorox Disinfecting Wipes, Variety Pack, 85-count, 5-pack.",https://us-source-clorox.com,21.99,16.17,2206.33
"Youchen Cheese Bread, 24-count, 1.65 oz",B0ced2ffb1,Youchen,Youchen Pro Distributors,United States,4.8,12,0,"Wholesale distributor of Youchen Cheese Bread, 24-count, 1.65 oz for Amazon sellers.",https://youchen-prodist.com,21.99,22.91,1161.86
"Youchen Cheese Bread, 24-count, 1.65 oz",B0ced2ffb1,Youchen,American Quality Wholesale,United States,4.6,25,0,"Bulk supplier of Youchen Cheese Bread, 24-count, 1.65 oz with FBA-compatible MOQs.",https://americanqualitywholesale.com/youchen,21.99,22.91,1161.86
"Youchen Cheese Bread, 24-count, 1.65 oz",B0ced2ffb1,Youchen,U.S. Source Youchen,United States,4.7,10,0,"Direct-from-manufacturer pricing on Youchen Cheese Bread, 24-count, 1.65 oz.",https://us-source-youchen.com,21.99,22.91,1161.86
"Tramontina ProLine Windsor Dinner Knife, Stainless Steel, 36-count",B0c9bf4675,Tramontina,Tramontina Pro Distributors,United States,4.8,12,0,"Wholesale distributor of Tramontina ProLine Windsor Dinner Knife, Stainless Steel, 36-count for Amazon sellers.",https://tramontina-prodist.com,19.99,13.88,633.4
"Tramontina ProLine Windsor Dinner Knife, Stainless Steel, 36-count",B0c9bf4675,Tramontina,American Quality Wholesale,United States,4.6,25,0,"Bulk supplier of Tramontina ProLine Windsor Dinner Knife, Stainless Steel, 36-count with FBA-compatible MOQs.",https://americanqualitywholesale.com/tramontina,19.99,13.88,633.4
"Tramontina ProLine Windsor Dinner Knife, Stainless Steel, 36-count",B0c9bf4675,Tramontina,U.S. Source Tramontina,United States,4.7,10,0,"Direct-from-manufacturer pricing on Tramontina ProLine Windsor Dinner Knife, Stainless Steel, 36-count.",https://us-source-tramontina.com,19.99,13.88,633.4
"NIGHT Foaming Face Wash, Korean Skincare Cleanser, Cica + Centella, 100-count",B09ec25c74,NIGHT,NIGHT Pro Distributors,United States,4.8,12,0,"Wholesale distributor of NIGHT Foaming Face Wash, Korean Skincare Cleanser, Cica + Centella, 100-count for Amazon sellers.",https://night-prodist.com,29.99,14.99,1847.38
"NIGHT Foaming Face Wash, Korean Skincare Cleanser, Cica + Centella, 100-count",B09ec25c74,NIGHT,American Quality Wholesale,United States,4.6,25,0,"Bulk supplier of NIGHT Foaming Face Wash, Korean Skincare Cleanser, Cica + Centella, 100-count with FBA-compatible MOQs.",https://americanqualitywholesale.com/night,29.99,14.99,1847.38
"NIGHT Foaming Face Wash, Korean Skincare Cleanser, Cica + Centella, 100-count",B09ec25c74,NIGHT,U.S. Source NIGHT,United States,4.7,10,0,"Direct-from-manufacturer pricing on NIGHT Foaming Face Wash, Korean Skincare Cleanser, Cica + Centella, 100-count.",https://us-source-night.com,29.99,14.99,1847.38
"Frito Lay Simply Variety Pack, 30-count",B00e8c9980,Frito Lay,Frito Lay Pro Distributors,United States,4.8,12,0,"Wholesale distributor of Frito Lay Simply Variety Pack, 30-count for Amazon sellers.",https://frito lay-prodist.com,18.99,15.82,797.88
"Frito Lay Simply Variety Pack, 30-count",B00e8c9980,Frito Lay,American Quality Wholesale,United States,4.6,25,0,"Bulk supplier of Frito Lay Simply Variety Pack, 30-count with FBA-compatible MOQs.",https://americanqualitywholesale.com/frito lay,18.99,15.82,797.88
"Frito Lay Simply Variety Pack, 30-count",B00e8c9980,Frito Lay,U.S. Source Frito Lay,United States,4.7,10,0,"Direct-from-manufacturer pricing on Frito Lay Simply Variety Pack, 30-count.",https://us-source-frito lay.com,18.99,15.82,797.88
"Kisko Giant Freezies, Variety Pack, 5.5 oz, 50-count",B08bb55c3d,Kisko,Kisko Pro Distributors,United States,4.8,12,0,"Wholesale distributor of Kisko Giant Freezies, Variety Pack, 5.5 oz, 50-count for Amazon sellers.",https://kisko-prodist.com,11.99,11.99,1297.08
"Kisko Giant Freezies, Variety Pack, 5.5 oz, 50-count",B08bb55c3d,Kisko,American Quality Wholesale,United States,4.6,25,0,"Bulk supplier of Kisko Giant Freezies, Variety Pack, 5.5 oz, 50-count with FBA-compatible MOQs.",https://americanqualitywholesale.com/kisko,11.99,11.99,1297.08
"Kisko Giant Freezies, Variety Pack, 5.5 oz, 50-count",B08bb55c3d,Kisko,U.S. Source Kisko,United States,4.7,10,0,"Direct-from-manufacturer pricing on Kisko Giant Freezies, Variety Pack, 5.5 oz, 50-count.",https://us-source-kisko.com,11.99,11.99,1297.08
