asin,product_title,source_query,price,rating,num_ratings,num_offers,price_band_fit,composite_score,rank
B01KW9KWW4,"KIRKLAND Kirkland Signature OPTIFIBER, 25.6 Ounces 190 Servings (2 Pack)",Kirkland Signature,37.98,4.7,6686,1,core,90.9249,20
B07N798Y1J,"KIRKLAND Signature Calcium Citrate Magnesium and Zinc, 500 Tablets",Kirkland Signature vitamins supplements,16.89,4.7,3751,33,core,90.8462,21
B007889Z1C,KIRKLAND Signature Calcium Citrate 500mg (500 Tablets),Kirkland Signature vitamins supplements,18.87,4.7,1915,25,core,90.2658,22
B00NPQZ20O,"KIRKLAND KIRKLAND Signature Adult 50+ Multi Vitamins &amp; Minerals, 400 Tablets (2 Pack)",Kirkland Signature,38.95,4.7,5659,1,core,90.0365,23
B00SWZUC8U,"KIRKLAND Baby Wipes Unscented, 100 Count (Pack of 9)",Kirkland Signature,36.9,4.7,5453,1,core,89.839,24
B014K3BF24,"KIRKLAND Signature Baby Wipes, Ultra-Soft, Unscented, 100 Count Wipes Pack of 6",Kirkland Signature,27.59,4.7,5453,1,core,89.839,25
B076V51TF1,"KIRKLAND Signature Daily Multi, 500 Tablets (2 Pack)",Kirkland Signature vitamins supplements,43.0,4.7,1767,25,core,89.8375,26
B00GYZWNY6,KIRKLAND Kirkland Extra Strength Glucosamine 1500 mg Chondroitin 1200 mg 220 Tablets,Kirkland Signature,28.95,4.7,5194,1,core,89.5798,27
B00YGMN122,"KIRKLAND Kirkland Signature Adults 50+ Mature Multi, 400 Tablets 1",Kirkland Signature,19.96,4.7,2941,29,core,89.5505,28
B00XH0TNRG,"KIRKLAND Kirkland Signature Vitamin E 180mg., 500 Softgels (2 Pack)",Kirkland Signature,35.5,4.7,4835,1,core,89.1983,29
B01MYGO4Y5,"KIRKLAND Kirkland Signature, Vitamin E 400 IU brdqt 500 Softgels (Pack of 2)",Kirkland Signature,32.84,4.7,4835,1,core,89.1983,30
B00BH3HPZW,"KIRKLAND Fiber Capsules Kirkland Therapy for Regularity/Fiber Supplement, 360 capsules - Compare to the Active Ingredient in Metamucil Capsules",Kirkland Signature,17.59,4.6,4798,1,core,89.1574,31
B01M0PDFA9,"KIRKLAND SIGNATURE One Per Day Super B-Complex with Electrolytes,Tablet, 1000 Count (Pack of 2)",Kirkland Signature vitamins supplements,36.48,4.7,1475,16,core,88.8758,32
B005O33LJA,KIRKLAND Signature Men&#x27;s Crew Neck T-Shirts 100% Cotton (Pack of 6),Kirkland Signature,38.11,4.6,4393,1,core,88.6877,33
B01LY71217,"KIRKLAND Kirkland Signature 13 Gallon 200 Ct Carton 100% recyclable Heavy Duty Drawstring Kitchen Trash Bags Garbage Bag,White",Kirkland Signature,35.99,4.7,4322,1,core,88.6009,34
B0027EOTKO,"KIRKLAND Signature Extra Virgin Olive Oil, 67.62 Ounce [Amazon-developed Certification] Compact by Design",Kirkland Signature olive oil,36.99,4.6,1336,15,core,88.3489,35
B01M7QUOBB,"KIRKLAND Kirkland Signature Dental Chews, 72-Count",Kirkland Signature,36.99,4.6,4085,1,core,88.3005,36
B002RL8FBQ,"KIRKLAND Signature Calcium, 600 mg+D3, 500-Count Tablets",Kirkland Signature vitamins supplements,25.99,4.7,1316,3,core,88.2686,37
B00JGZ63WE,KIRKLAND Extra Strength Vitamin D-3 2000 IU 600 Soft Gels,Kirkland Signature vitamins supplements,16.29,4.8,1237,19,core,87.939,38
B07D1VXS3T,"KIRKLAND Signature Kirkland signature moist flushable wipes 632 wipes, 632 count, White",Kirkland Signature,27.8,4.6,3800,1,core,87.9153,39
B07KRC6DBP,"KIRKLAND SIGNATURE Drawstring Kitchen Trash Bags - 13 Gallon - 200 Count, Multicolor",Kirkland Signature trash bags,32.18,4.8,1221,17,core,87.8697,40
B00HK14QGQ,"KIRKLAND Signature Premium Big Roll Paper Towels 12-roll, 160 Sheets Per Roll",Kirkland Signature paper towels,41.99,4.7,1213,5,core,87.8347,41
B019VPE72G,"KIRKLAND Kirkland Signature 2-Ply Bath Tissue, 30 Rolls",Kirkland Signature,40.17,4.6,1204,4,core,87.7951,42
B01J956TJC,"KIRKLAND Signature Adult 50+ Multi Vitamins &amp; Minerals, 400 Tablets (2 Pack)",Kirkland Signature vitamins supplements,39.0,4.8,1203,10,core,87.7906,43
B077L84XVV,KIRKLAND Signature Super B-Complex (2-Pack) with Electrolytes (2 x 500 Tablets),Kirkland Signature vitamins supplements,36.73,4.8,1164,25,core,87.6152,44
B00OPQZJA6,"KIRKLAND Kirkland Signature Nuts, Walnuts,48 Ounce [Amazon-developed Certification] Compact by Design",Kirkland Signature,20.98,4.6,3539,1,core,87.5363,45
B002RL8FGQ,"KIRKLAND Signature Fast Acting Lactase Natural Dairy Digestive Supplement, 180-Count Caplets",Kirkland Signature vitamins supplements,22.5,4.8,1144,16,core,87.523,46
B00BOTZTDO,KIRKLAND Signature Organic Extra Virgin Olive Oil 2L (2QT 3.6 fl. oz) USDA Organic [Amazon-developed Certification] Compact by Design,Kirkland Signature olive oil,32.0,4.6,1115,7,core,87.3863,47
B002S4RSEW,"KIRKLAND Signature Kirkland, 500 Bags, Clear",Kirkland Signature trash bags,20.78,4.5,1087,15,core,87.2509,48
B0048LR5P0,KIRKLAND Kirkland Signature Food Wrap Premium,Kirkland Signature,25.99,4.6,1086,14,core,87.246,49
B01AIVTJMA,"KIRKLAND Kirkland Signature 1.45 Volt Mercury Free Premium Quality Hearing Aid Batteries, 312 (48-Pack)",Kirkland Signature,15.92,4.2,3297,1,core,87.1591,50
B00269UWFG,"KIRKLAND Signature&#x27;s Cashews, 40 Ounce [Amazon-developed Certification] Compact by Design",Kirkland Signature,26.89,4.4,3268,1,core,87.112,51
B001UB5YB8,KIRKLAND Signature Drawstring Trash Bags - 33 Gallon - Xl Size - (90 count),Kirkland Signature trash bags,37.9,4.8,1039,22,core,87.0105,52
B0007L6NLC,"KIRKLAND Signature Vitamin C 1000 mg., 500 Tablets",Kirkland Signature vitamins supplements,23.99,4.8,1008,19,core,86.8493,53
B01IQ9O05C,"KIRKLAND Kirkland Signature 100% Colombian Coffee, 3 Pound",Kirkland Signature,29.99,4.6,970,14,core,86.6448,54
B00EU37H7W,"KIRKLAND Kirkland Signature Multi-Purpose Sterile Solution for Any Soft Contact Lens, 16 Fl Oz (Pack of 3)",Kirkland Signature,24.99,4.7,2846,1,core,86.3756,55
B01NABAG3F,"KIRKLAND Signature Vitamin C 250 mg., 360 Adult Gummies",Kirkland Signature vitamins supplements,24.17,4.6,2823,1,core,86.3324,56
B00QCW31QU,KIRKLAND Salon Formula Moisture Shampoo 33.8 Oz &amp; Conditioner 33.8 Oz,Kirkland Signature,35.99,4.4,2770,1,core,86.2315,57
B0077SXI7A,"KIRKLAND Kirkland Signature Kirkland Fiber Capsules, 2 Pack (360 Capsules Each)",Kirkland Signature,28.9,4.7,2706,1,core,86.107,58
B072TT12DZ,KIRKLAND Signature Organic Extra Virgin Olive Oil - 67 FL Ounce,Kirkland Signature olive oil,33.99,4.7,826,11,core,85.7896,59
B07K73FTRJ,"KIRKLAND Signature Daily Multi, 500 Tablets",Kirkland Signature vitamins supplements,24.67,4.7,817,8,core,85.7313,60
B00169WNLI,"KIRKLAND Signature Vitamin E 400 IU, 500 Softgels (Pack of 2) (Total of 1000 Softgels)",Kirkland Signature vitamins supplements,29.8,4.8,810,19,core,85.6855,61
B07W19KKGQ,"KIRKLAND KIRKLAND SIGNATURE Signature Cold Brew Colombian Coffee, 11 Fl Oz (Pack of 12)",Kirkland Signature,29.88,4.4,807,17,core,85.6658,62
B00XU9FM8S,KIRKLAND Signature Krill Oil 500 Milligram 160 Softgels,Kirkland Signature vitamins supplements,36.99,4.7,801,14,core,85.6261,63
B07Q2HHLVN,KIRKLAND Kirkland Signature Mixed Nut Butter,Kirkland Signature,19.99,4.5,2468,1,core,85.6167,64
B002TUMVGA,"KIRKLAND Signature Vitamin C 1000mg, with Rose Hips 500 Tabs each (pack of 2)",Kirkland Signature vitamins supplements,39.98,4.7,773,16,core,85.4367,65
B00QGMOJ4Y,"KIRKLAND Kirkland Signature Purified Drinking Water, 16.9 Ounce, 40 Count",Kirkland Signature,26.49,4.4,2349,1,core,85.3535,66
B00RNFPU5U,KIRKLAND Signature Men&#x27;s Boxer Brief Pima Cotton 4 Pack,Kirkland Signature,27.02,4.6,2317,1,core,85.2805,67
B07N6YF2SF,"KIRKLAND Signature Wild Alaskan Fish Oil 1400 mg, 230 Softgels",Kirkland Signature vitamins supplements,30.32,4.8,737,16,core,85.183,68
B0CL19NWTF,"KIRKLAND Signature RutaVm 10 Gallon Clear Plastic Trash Bags, 23 x 25 Inches, 0.34 Mil, 125/Roll, 4 Rolls/Case (500 Bags Total, bulk packaging)",Kirkland Signature trash bags,17.99,4.7,723,21,core,85.081,69
B008Q90CBO,KIRKLAND Kirkland Signature Chocolate Covered Raisins 1.53kg,Kirkland Signature,29.99,4.6,2226,1,core,85.0671,70
B0CX23NM2N,KIRKLAND Signature Men&#x27;s Crew Neck Tee 100% Combed Heavyweight Cotton T-Shirts (Pack of 6),Kirkland Signature,40.95,4.6,2090,1,core,84.7314,71
B004CSGRS0,"KIRKLAND Kirkland Signature Dried Cherries, 20 Ounce",Kirkland Signature,16.79,4.6,2086,1,core,84.7212,72
B07DBVGJ39,"KIRKLAND Kirkland Signature Organic Dried Cherries, 20 Ounce",Kirkland Signature,23.75,4.6,2086,1,core,84.7212,73
B07N754R6S,"KIRKLAND Kirkland Signature Krill Oil 500 mg., 160 Softgels",Kirkland Signature,39.54,4.7,2017,1,core,84.5421,74
B00BPPN94S,"KIRKLAND Signature Compactor Bags, 18 Gallon, Smart Fit Gripping Drawstring, White, 1 Pack (70 Count)",Kirkland Signature trash bags,29.99,4.7,1925,1,core,84.2935,75
B00JZVWE0O,Kirkland Signature Kirkland Signature H.K Anderson Valencia Peanut Butter Filled Pretzel Nuggets: 52 Oz - Cos9,Kirkland Signature,16.74,4.5,1909,1,core,84.2491,76
B00QY0AREY,"KIRKLAND Signature Children&#x27;s Complete Multivitamin Gummies, 320 Count",Kirkland Signature vitamins supplements,19.65,4.6,617,11,core,84.2376,77
B073CDDL1X,"KIRKLAND Signature Drawstring Kitchen Trash Bags - 13 Gallon, 200 Count",Kirkland Signature trash bags,27.8,4.8,1862,1,core,84.1163,78
B017F822E6,"KIRKLAND Kirkland Signature Daily Multi, 500 Tablets (2 Pack)",Kirkland Signature,44.94,4.7,1767,1,core,83.8375,79
B00CCQWK6C,KIRKLAND Kirkland Signature Extra Fancy Unsalted Mixed Nuts 2.5 (LB),Kirkland Signature,29.49,4.5,1717,1,core,83.6847,80
B01JUD2SNO,"KIRKLAND Kirkland Signature Stool Softener Docusate Sodium 100 Mg, 800 Softgels/2Bottle",Kirkland Signature,21.39,4.7,1667,1,core,83.5273,81
B00DQXOSV0,KIRKLAND Kirkland Signature Ultra Plush Microfiber Towels 12 Pack,Kirkland Signature,17.97,4.7,1627,1,core,83.398,82
B00EXPSLK4,"KIRKLAND Kirkland Signature Fast Acting Lactase, (2 Pack), 360 Ct Caplets",Kirkland Signature,39.78,4.8,1613,1,core,83.352,83
B0CG2W3KKJ,"KIRKLAND Signature Daily Facial Towellettes, 4.53 Pound (180 Count, 1-Box)",Kirkland Signature,32.99,4.6,1592,1,core,83.2822,84
B07WMQVJCF,"KIRKLAND Signature Flex-tech 33 Gallon Trash Bag, 90count, 1count",Kirkland Signature trash bags,30.1,4.8,512,22,core,83.2455,85
B01FFV68KO,"KIRKLAND Signature Greek Extra Virgin Olive Oil, 2L",Kirkland Signature olive oil,37.73,4.4,491,3,core,83.0229,86
B01FV4WBJC,"KIRKLAND Kirkland Signature Sleep Aid, 192 Tablets (3 Pack)",Kirkland Signature,32.95,4.5,1495,1,core,82.9475,87
B0CP6LXPLK,"KIRKLAND Minoxidil Liquid Extra Strength Hair Regrowth Treatment for Men, 5% Topical Solution, 6 Months Supply - Dropper Applicator and Bonus Free Instructional Guide Included",Kirkland Signature,15.59,4.4,1440,1,core,82.7479,88
B08QCKBK2V,"KIRKLAND Signature Flex-Tech 13-Gallon Scented Kitchen Trash Bags - 200 Count, White, KS-200x|Scent|Bin Bag-WT",Kirkland Signature trash bags,30.98,4.7,813,26,core,82.7052,89
B096MLT4B3,"KIRKLAND Signature Bath Tissue, 2-Ply, 380 Sheets, 30 Rolls",Kirkland Signature paper towels,49.45,4.6,458,3,core,82.653,90
B01BL9RVK0,"KIRKLAND Kirkland Signature Easy to Use, Streak Free Premium Dishwasher Pacs, Automatic Dishwasher Detergent",Kirkland Signature,25.76,4.6,1356,1,core,82.428,91
B00UP99X1I,KIRKLAND Vitamin E 400 Iu 500 Softgels Supports Healthy Immune,Kirkland Signature,18.49,4.8,1291,1,core,82.1665,92
B078XMKRLH,"KIRKLAND Signature Spanish Queen Olives Stuffed With Minced Pimiento, 21oz Glass Jar (Pack of 3, Total of 63 Oz)",Kirkland Signature olive oil,37.99,4.2,406,9,core,82.0124,93
B005D1K7CW,KIRKLAND Maximum Strength Vitamin D3 600 Softgels (Pack of 2),Kirkland Signature vitamins supplements,29.18,4.8,402,18,core,81.9598,94
B00LWE9144,"KIRKLAND Signature B-12 5000 mcg, 300 Tablets (2 Pack)",Kirkland Signature vitamins supplements,43.95,4.8,702,42,core,81.9242,95
B01AJM0SL4,KIRKLAND Signature Men&#x27;s 3-Pack/6-Pack Crew Neck T-Shirts 100% Cotton Tagless,Kirkland Signature,36.89,4.6,388,2,core,81.7714,96
B07CGQBNKR,"KIRKLAND Signature Adult 50+ Multi Vitamins &amp; Minerals, 400 Tablets (2 Pack)",Kirkland Signature vitamins supplements,41.49,4.7,378,9,core,81.6327,97
B074FFQCBV,KIRKLAND Signature Outdoor 50 gallon Trash Bags (70 Pack),Kirkland Signature trash bags,32.0,4.8,376,21,core,81.6045,98
B01IROP25I,"KIRKLAND Kirkland Signature 100 Mg Stool Softener, 400 Softgels (Pack of 3)",Kirkland Signature,30.41,4.8,1147,1,core,81.5369,99
B0784S6ZCJ,"KIRKLAND Signature Men’s Athletic Sock 8-pair, White (White, 8-12)",Kirkland Signature,23.99,4.7,1123,1,core,81.4243,100
B002PDWYUY,KIRKLAND Signature Children&#x27;s Aller-Tec - 16 Oz - 2 Pk,Kirkland Signature vitamins supplements,15.99,4.7,351,15,core,81.2389,101
B00G6RK1NM,"KIRKLAND Kirkland Signature Kirkland Signature Unsalted Cashews, 2.5 Pound",Kirkland Signature,25.99,4.5,1071,1,core,81.172,102
B00JW1OHWK,Kirkland Signature Kirkland Signature Pure Vanilla Extract 16 ounce,Kirkland Signature,16.99,4.6,1066,1,core,81.1471,103
B01LBAFCDM,"KIRKLAND wcaqZ, COQ10 300 mg 100 Softgels (Pack of 2)",Kirkland Signature vitamins supplements,45.94,4.8,598,35,core,81.0712,104
B00K7W1QAO,"KIRKLAND Signature Smart Closure Outdoor Lawn 50 Gallon Trash Bags, 70Count",Kirkland Signature trash bags,40.21,4.7,333,16,core,80.9593,105
B07PJTG9QF,"KIRKLAND Kirkland Signature QNKDQK Extra Fancy Unsalted Mixed Nuts 2.5 (LB), 2 Pack of 40 Ounce, 99451458768",Kirkland Signature,47.99,4.6,1023,1,core,80.9279,106
B081THWMDK,KIRKLAND Kirkland Signature Stretch Tite Plastic Food Wrap 11 7/8 Inch X 750 SQ. FT. Pack 2,Kirkland Signature,26.98,4.7,970,1,core,80.6448,107
B08DQV8GDP,"KIRKLAND Signature Golf Gloves Premium Cabretta Leather, Medium/Large (4 Count)",Kirkland Signature,38.79,4.7,958,1,core,80.5785,108
B07C73SLH1,KIRKLAND Kirkland Signature Glucosamine HCI (Pack of 2) Extra Strength with MSM (375 Count X 2),Kirkland Signature,41.99,4.8,922,1,core,80.3747,109
B07VBB1NZG,"KIRKLAND Kirkland Signature Organic Medium Blend Roast, Recyclable K Cup Pods, 3 lb, 120 Count",Kirkland Signature,49.0,4.4,866,1,core,80.0413,110
B00RYBCUEW,"KIRKLAND Signature Kirkland Signature Wild Alaskan Fish Oil 1400 mg Dietary Supplement (Netcount 230 Soft Gels),, 230Count ()",Kirkland Signature vitamins supplements,29.88,4.8,479,28,core,79.8913,111
B0B5M38FTT,"Libreshine Bamboo Trash Bag Dispenser Holder for Costco &amp; Sam&#x27;s Club Rolls | Large 1-slot model fits many Kirkland Signature and Member&#x27;s Mark bulk rolls, with top-loading and easy front access",Kirkland Signature trash bags,32.98,4.5,835,1,core,79.8473,112
B0DLKRV4XS,Libreshine Large Black Bamboo Trash Bag Holder for Costco &amp; Sam&#x27;s Club | Large 1-slot dispenser fits many Kirkland Signature and Member&#x27;s Mark bulk rolls; top-load and pull bags from the front,Kirkland Signature trash bags,29.98,4.5,835,1,core,79.8473,113
B0DLKS43SQ,Libreshine Large White Bamboo Trash Bag Holder for Costco &amp; Sam&#x27;s Club | Large 1-slot dispenser fits many Kirkland Signature and Member&#x27;s Mark bulk rolls; top-load and pull bags from the front,Kirkland Signature trash bags,26.98,4.5,835,1,core,79.8473,114
B079BKWK6L,KIRKLAND Kirkland Signature Pecan and Walnuts Bundle - Includes Kirkland Signature Pecan Halves (2.0 LB) and Walnuts (3 LB),Kirkland Signature,39.29,4.7,827,1,core,79.796,115
B09KMH36RF,KIRKLAND mens Modern,Kirkland Signature,30.99,4.6,780,1,core,79.4847,116
B07GDWR1BX,"KIRKLAND Kirkland Signature USDA Organic Multivitamin, 80 Coated Tablets USDA Organic",Kirkland Signature,24.19,4.7,443,27,core,79.476,117
B0784KSWH2,"KIRKLAND Signature cBlWCe Adult Multi Gummies, 4 Pack (640 Count)",Kirkland Signature vitamins supplements,33.98,4.5,722,1,core,79.0736,118
B00EA1PFEG,KIRKLAND Kirkland Signature 100% Wild Alaskan Salmon Oil 90 EPA 110 DHA 1200mg - 320 Enteric Coated Softgels,Kirkland Signature,34.95,4.6,708,1,core,78.9694,119
B08TQRC3F6,"KIRKLAND Signature Nitrile Gloves, Box of 200, Medium for Health Care, Food Service, Home other uses.",Kirkland Signature,21.95,4.6,699,1,core,78.9014,120
B074T2CRJW,"KIRKLAND Signature Glucosamine with MSM, 375 Tablets (2 Pack)",Kirkland Signature vitamins supplements,42.48,4.8,397,26,core,78.8933,121
B08DQYNG6D,"KIRKLAND Signature Golf Gloves Premium Cabretta Leather, Large (4 Count)",Kirkland Signature,37.99,4.7,693,1,core,78.8555,122
B0C54GXFQ8,"KIRKLAND Signature V3.0#1654518 Performance Plus 3-Piece Urethane Covered Golf Ball (2 Dozen, 24 Balls)",Kirkland Signature,43.99,4.8,684,1,core,78.786,123
B0786RVL9D,"KIRKLAND Signature DnRbYi Nitrile Exam Multi-Purpose Medium Gloves Latex-Free, 400 Count, (467120)",Kirkland Signature,38.83,4.7,671,1,core,78.6839,124
B01CZ637O2,"KIRKLAND Kirkland Signature Glucosamine with MSM, 375 Tablets",Kirkland Signature,13.99,4.7,2976,24,review,78.6135,125
B07XLZXQRP,"KIRKLAND Kirkland Signature Bath Tissue, 2-Ply, 425 sheets, 30 rolls",Kirkland Signature,39.99,4.5,652,1,core,78.5311,126
B01N9SOK2Y,KIRKLAND Signature Natural Body Wash 27 Fl Oz (Pack of 1),Kirkland Signature,17.99,4.4,648,1,core,78.4984,127
B07C4T1ZK7,"KIRKLAND KIRKLAND SIGNATURE Protein Bars Chocolate Peanut Butter Chunk 2.12 oz, 20-count",Kirkland Signature,49.99,4.3,645,1,core,78.4737,128
B01J13V6I6,"KIRKLAND Kirkland Signature Carton is 100% recyclable 33 Gallon Black Drawstring Trash Bag 90 Count,Tear-Stop Technology",Kirkland Signature,39.99,4.7,633,1,core,78.3738,129
B07886L38V,"KIRKLAND KIRKLAND SIGNATURE Trail Mix Snack Pack, 3.52 Lb",Kirkland Signature,30.96,4.7,622,1,core,78.2805,130
B085F1QCB9,"KIRKLAND KIRKLAND SIGNATURE Compactor Kitchen Trash Bag with Gripping Drawstring Secure Full Size, New Edition",Kirkland Signature,29.99,4.8,603,1,core,78.1155,131
B079JS2QYG,"KIRKLAND Kirkland Signature - Creamy Almond Butter, 27 Ounce - 3 Jars",Kirkland Signature,36.99,4.3,184,18,core,77.8118,132
B07F1VFQNJ,"KIRKLAND Signature Daily Multi, 500 Tablets (2 Pack)",Kirkland Signature vitamins supplements,44.89,4.7,179,16,core,77.6659,133
B0CB71V975,"KIRKLAND Kirkland Signature S&#x27;more Caramel Cluster, 26.3 Ounce",Kirkland Signature,21.99,4.1,531,1,core,77.4393,134
B00D1J091M,KIRKLAND Signature Professional Salon Formula Moisture Shampoo or Conditioner (33.8 Oz Each) (shampoo &amp; Conditioner Set) By 1count,Kirkland Signature,34.78,4.6,528,1,core,77.4092,135
B004885T38,"KIRKLAND Kirkland Signature Nature&#x27;s Path Organic Ancient Grains with Almonds, 35.3 oz USDA Organic",Kirkland Signature,16.95,4.7,521,1,core,77.3382,136
B0CHTNWWLJ,"KIRKLAND Kirkland Signature Sugar-Free Psyllium Fiber Supplement Powder, 360 DosesQ | 360 Doses",Kirkland Signature,43.38,4.7,518,1,core,77.3075,137
B07897BQ1N,"KIRKLAND Signature Vitamin C 250 mg., 360 Adult Gummies (4 Pack)",Kirkland Signature vitamins supplements,27.95,4.4,166,7,core,77.2665,138
B00EX9G9IG,"KIRKLAND KIRKLAND SIGNATURE Medium Roast Coffee, 2.5 Lb, Brown, 40 Ounce",Kirkland Signature,21.4,4.6,289,29,core,77.2067,139
B00MG4X4LK,KIRKLAND Krikland Signature Ultra Clean Premium Laundry Detergent with 2X Concentrate,Kirkland Signature,37.0,4.6,506,1,core,77.1829,140
B06XPZ5Q85,KIRKLAND Kirkland Signature Dried Natural Cherries 20 Ounce (20 Ounce Bags (2 Pack)),Kirkland Signature,37.17,4.6,504,1,core,77.1618,141
B07T8BDLQX,KIRKLAND Kirkland Signature Protein Bar Variety Pack 20 Count Chocolate Peanut Butter Chunk &amp; Cookies and Cream Gluten Free 21-22g of Protein 2g Sugar No Artificial Flavors Whey Protein Isolate,Kirkland Signature,33.95,4.0,279,28,core,77.0198,142
B00G5KD56U,"KIRKLAND Kirkland Signature Organic Strawberry Spread, 42 Ounce USDA Organic",Kirkland Signature,21.51,4.4,470,1,core,76.7905,143
B07R4G5DQQ,"KIRKLAND Signature Men&#x27;s Golf Gloves Premium Cabretta Leather, Medium/Large, 3 Pack",Kirkland Signature,38.74,4.6,466,1,core,76.745,144
B077SN37K5,"KIRKLAND Signature Men’s Athletic Sock 8-pair, White (White, 13+)",Kirkland Signature,24.99,4.6,460,1,core,76.6761,145
B07G5Z599N,"LostGolfBalls Kirkland Mix Used Golf Balls, Near Mint Quality, 50 Pack",Kirkland Signature,34.99,4.4,452,1,core,76.5829,146
B0DPY44TGM,"MORALZA Kirkland Signature Praline Pecans, 2.5 lbs. Item 1209607. Bundle with MORALZA Silicone Collapsible Cup 200ml - 2 Items.",Kirkland Signature,32.99,4.5,423,1,core,76.2304,147
B07MW37ZT8,"KIRKLAND Kirkland Signature HTGFD Milk Chocolate Roasted Almonds, 2 Pack 48 Ounce",Kirkland Signature,61.8,4.5,5710,1,review,76.0843,148
B08ZGH9YCB,"KIRKLAND Signature Golf Gloves Premium Cabretta Leather, X-Large (4 Count)",Kirkland Signature,38.89,4.7,404,1,core,75.9862,149
B07C4YLGFH,"KIRKLAND Kirkland Signature Protein Bars Chocolate Brownie 2.12 oz, 20-count",Kirkland Signature,41.99,4.4,400,1,core,75.9333,150
B00BI33NU2,KIRKLAND Signature Ultra Strength Antacid Calcium Carbonate 1000 MG Assorted Berry Flavors (265 Tablets),Kirkland Signature vitamins supplements,13.65,4.6,3123,34,review,75.8703,151
B074MLXRJ8,"KIRKLAND Signature Vitamin E 180mg, 500 Softgels (2 Pack)",Kirkland Signature vitamins supplements,32.99,4.8,123,18,core,75.6804,152
B0DG4C2KFW,"KIRKLAND Signature Ladies&#x27; Extra-Fine Merino Wool Crew Socks, Multi-Color, 4 Pairs",Kirkland Signature,20.99,4.7,377,1,core,75.6186,153
